reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
6435f401-e35e-472e-bbf1-fcf859f34801,Rans,https://play-lh.googleusercontent.com/a/ACg8ocLU1FcNLl4LSqHHrTe13h9OQ1ZfbdpEtX65vuXAu45Zc4A7_iI=mo,"Program dan internalnya lebih memadai di pakai,,bebas iklan,bug,ataupun lelet,cepat bila di jalankan dan mengakses semua menunya. Namun disayangkan pernah juga dipakai terkadang agak"" sulit membukanya pas saat koneksi lagi burik/kurang bagus,mungkin cuma hal yang biasa terjadi di apps ini dan lain-lainnya sesuai pengalaman transaksi berhasil,,masukan untuk perkembangan nya dibenahi semua",5,3,2.4.10,2026-06-22 13:44:49,,,2.4.10
0974fc7f-f2b2-4091-b328-ca98633123d8,Aditya Wicaksono,https://play-lh.googleusercontent.com/a/ACg8ocLvnHYXICGr0OM7MbJasbtV5_3cX6afU-6UAlEF3hEVDsukIjQ=mo,"Untuk versi yang sekarang bagus UI-nya, tetap simple dan intuitif. Hanya untuk layanannya mohon dikembalikan seperti yg sebelumnya. Rata-rata nasabah tidak memerlukan transfer sampai 1000x per bulan sehingga kuota bebas biaya admin 50x per bulan seperti sebelumnya sudah cukup. Justru yang diperlukan adalah kuota bebas admin utk top-up dompet digital yg sekarang hanya 3x. Mohon pihak Hana Bank memperhatikan kebutuhan nasabah ya.",5,18,2.4.5,2026-04-15 00:38:26,,,2.4.5
2c82aa49-43f5-4b12-86c3-7778a6ad6287,R G,https://play-lh.googleusercontent.com/a-/ALV-UjWShUOdw8PlpVX9lxr4aw7SQiFjfjOR0CXwy063wPMzKLu13-3oeQ,"aduuuh gmn dong, udah buka rekening, dah pakai data lengkap, eeh malah ga bs buka aplikasi nya, utk line bank tolong hapus data saya, mohon, password ga bisa di masukkan, saya takut data2 saya disalah gunakan ,apalagi udah verifikasi wajah,, udah berulang kali masukin passw yg benar, eeh dibilang ada aktifitas ga wajar, pokoknya hapus data saya ya...",1,4,2.4.10,2026-06-11 10:15:56,"Hi Sobat LINE Bank! Mohon maaf atas ketidaknyamanannya. Kami akan berusaha memberikan kemudahan dan kenyamanan bertransaksi di Aplikasi LINE Bank By Hana Bank. Terkait kendala yang kamu alami dapat menghubungi Call Hana 1 500 021atau layanan email help@linebank.co.id:) Terima kasih-LA
",2026-06-11 10:03:09,2.4.10
369d6e86-3b63-4e04-986c-6d13f592c6e5,rayhan azzikri,https://play-lh.googleusercontent.com/a-/ALV-UjWoAbVviL7BYuZeUchA86CHKgBb1hDMx5l6RrQA5fR2jDlW3z0,"Saya kesulitan login hingga Beberapa kali, chat ke costumer Service Di suruh ke kantor cabang nya saya Coba ke kantor cabang kota saya malah sudah tutup permanen Sehingga sampai saat ini Belum terselesaikan masalah nya Cukup mengecewakan untuk kualitas Perbankan seperti ini",2,3,2.4.9,2026-06-04 14:26:29,Hi Sobat LINE Bank! Mohon maaf atas ketidaknyamanannya. Kami sarankan dapat clear cache terlebih dahulu dan pastikan menginput data yang sesuai. Apabila masih terkendala silahkan menghubungi Call Hana 1500 021 atau melalui email di help@linebank.co.id untuk dilakukan pengecekan lebih lanjut. Terima kasih - DLS,2026-06-05 07:35:21,2.4.9
6b691b81-780a-4512-bc68-71aaceead2a7,Afifah Firdayansyah,https://play-lh.googleusercontent.com/a-/ALV-UjV6bNTBEQM0ryxu-ec8jKx8sjGwxd31CN6I1xdnf1n7cifWkGBf,Perbaikin dong applikasinya lemot bgttt bahkan baru mau masuk aja lama bgt loadingnya. Terus untuk top up e wallet ga usah dikasih pilihan nominal lah biar kita bisa input berapa aja,2,4,2.4.10,2026-06-13 07:07:58,Hi Sobat LINE Bank! Mohon maaf atas ketidaknyamanannya. Terima kasih untuk saran yang diberikan akan kami sampaikan kepada tim terkait kami serta kami akan berusaha memberikan kemudahan dan kenyamanan bertransaksi di Aplikasi LINE Bank By Hana Bank. Untuk informasi lainnya silakan hubungi Call Hana 1 500 021 atau email help@linebank.co.id TKS - LA,2026-06-15 10:47:46,2.4.10
aef67ae9-958b-4e48-8142-9f05e6ffa3da,Mingan,https://play-lh.googleusercontent.com/a/ACg8ocLV0WIpaJVxsNdsWQUtVQS-2JFnpLkzA-0k-gswFziSRDVN9A=mo,"sudah order kartu, tapi ga dikirim dg alasan nama tidak jelas, padahal sebelumnya sudah pernah pakai. karena hilang saya buat lagi. tapi malah berputar2 . suruh telp cs sampe boncos kartu jg ga dikirim kecewa saya ! jangan pake line bank",1,5,2.4.9,2026-05-29 09:41:43,Hi Sobat LINE Bank! Mohon maaf atas ketidaknyamanannya. Kami akan berusaha memberikan kemudahan dan kenyamanan bertransaksi di Aplikasi LINE Bank By Hana Bank. Terkait kendala yang kamu alami dapat menghubungi Call Hana 1 500 021atau layanan email help@linebank.co.id:) Terima kasih-LA,2026-05-29 10:20:07,2.4.9
60ae13be-8756-4022-a91e-003b841ee76e,Henpun Vfone N6 Star,https://play-lh.googleusercontent.com/a/ACg8ocJ07Qbhu-Lp6ZHEwwRNA-FcCX1P44auu2R16HuUz9yvmfreeg=mo,"Penanganan kasus terlalu lama dan jawaban CS nya selalu template. Penutupan rekening juga sekarang sudah tidak bisa lewat aplikasi, padahal dulu bisa. Kalau pelayanan dan sistemnya diperbaiki saya kasih bintang 5",1,26,2.4.5,2026-04-14 03:23:55,Hi Sobat LINE Bank! Mohon maaf atas ketidaknyamanannya. Kami akan berusaha memberikan kemudahan dan kenyamanan bertransaksi di Aplikasi LINE Bank By Hana Bank. Terkait kendala yang kamu alami dapat menghubungi Call Hana 1 500 021atau layanan email help@linebank.co.id:) Terima kasih-LA,2026-04-14 09:31:59,2.4.5
852d18fd-2ff9-490b-a090-b6f95055121c,Faisal Ubaidillah,https://play-lh.googleusercontent.com/a-/ALV-UjWGEKKcbS_Rk5X58g_EQUjk6X9SHbXu7Hdq-QoxkgpgivGRdQRA,"Aplikasi nya sekarang bikin saya kecewa, padahal dulu ini aplikasi andalan saya untuk nabung dan beli Token Listrik PLN, namun semenjak pembelian Token Listrik PLN dikenakan admin saya jadi tidak pernah mau menggunakan aplikasi nya lagi",1,19,2.4.5,2026-04-13 17:47:53,"Hi Sobat LINE Bank! Terima kasih atas ketertarikannya atas produk kami. Efektif per tanggal 20 Januari 2026 sudah penyesuaian biaya admin untuk transaksi pembelian token PLN dan pembayaran tagihan PLN. Untuk informasi lainnya silahkan menghubungi Call Hana 1500021, WhatsApp di 081197100021 atau email di help@linebank.co.id. Terima kasih -DLS",2026-04-14 00:40:08,2.4.5
2ac04901-9a43-4840-bb5b-b4c5a090df64,Nanda jls,https://play-lh.googleusercontent.com/a-/ALV-UjXwxK4KUMJ9m5OTLXg-HnTSLxB2HZJmg6yP35FxokYmHdiCeTnI,"tolong tambahin lah kuota gratis tarik tunai di atm lain gak ada gunanya transfer antar bank 1000x kali tu atau kembalikan kaya dulu kuota 30 kali transfer, tarik tunai dan bebas top up nya",5,5,2.4.6,2026-05-03 14:22:27,,,2.4.6
4323f26a-4abf-43ea-ae5c-1822f40394b1,BUDI SANTOSA,https://play-lh.googleusercontent.com/a/ACg8ocJ0-3dvRfybfl1J5XSjPHsJpE3nMD-NTWgL0P9yp1DQADAXmQ=mo,Masukan pin udah bener bilangnya salah mulu. ganti pin pun ga bisa-bisa. aktifin biomatrik sidik jari pun ga muncul saat login padahal udah di aktifin. harus tutup akun gitu ya pindah ke bank lain yang lebih aman,1,4,2.4.9,2026-05-24 01:11:20,Hi Sobat LINE Bank! Mohon maaf atas ketidaknyamanannya. Kami akan berusaha memberikan kemudahan dan kenyamanan bertransaksi di Aplikasi LINE Bank By Hana Bank. Terkait kendala yang kamu alami dapat menghubungi Call Hana 1 500 021atau layanan email help@linebank.co.id:) Terima kasih-LA,2026-05-25 06:29:08,2.4.9
043196cd-2e72-415e-b715-4995584d5c82,Ajeng Syaf yani Fadilah,https://play-lh.googleusercontent.com/a-/ALV-UjXKfnQizSsA-iAuX8riYuqKWisw7PrDiHx3wm7-R2SyIonthzFx,"Aplikasi se bagus ini dapet rating nya 3, padahal bagus banget. Sekalipun error, ya karna koneksi internetnya. Sejauh ini bagus, aku udah pake dari tahun 2021.",5,3,2.4.5,2026-04-13 19:10:00,,,2.4.5
29448e8f-6130-43f1-b84e-a61a5f3f9527,indrik agus,https://play-lh.googleusercontent.com/a/ACg8ocLlHaizK_odyP02W6YS5jLG6MPiK33ml1PZPZ51HB0jZZs-cg=mo,"untuk penarikan tunai di ATM tanpa kartu kalau bisa diganti kode otp saja, seperti bca, lebih mudah digunakan, saran, mohon ditindaklanjuti",5,1,2.4.9,2026-05-13 06:51:31,,,2.4.9
